img,N,Cin,Cout,K,t_torch_fp16_ms,t_triton_fp16_ms,speedup,err_max,err_mean,note
32,1,1,1,1,0.07874889997765422,0.7237652999416847,0.10880447015627744,0.0009765625,1.3828277587890625e-05,
32,1,1,1,3,0.10788956666753317,1.195478566660313,0.09024801420650586,0.001953125,5.221366882324219e-05,
32,1,1,1,5,0.2700742666396157,2.1137240333094574,0.12777177265508993,0.0009765625,9.006261825561523e-05,
32,1,1,1,7,0.07802520000647443,1.7234110999803913,0.04527370167649622,0.0009765625,5.3822994232177734e-05,
32,1,1,1,9,0.16317790007936614,1.5791045666749899,0.10333571539404666,0.0009765625,9.1552734375e-05,
32,1,1,1,11,0.2923665999939355,1.4361977333464893,0.20356987983311398,0.0009765625,9.292364120483398e-05,
32,1,1,3,1,0.0715953333080203,0.9268314666163254,0.07724741324266904,0.0009765625,2.872943878173828e-05,
32,1,1,3,3,0.2906567333411658,1.1338937333979022,0.2563350733672055,0.001953125,0.00011241436004638672,
32,1,1,3,5,0.06946696667000651,0.8278660000845169,0.08391088251349206,0.0009765625,8.815526962280273e-05,
32,1,1,3,7,0.07045283333961076,0.885727533386671,0.07954233179387238,0.001953125,6.669759750366211e-05,
32,1,1,3,9,0.077000600019043,1.0723556665955887,0.07180509453873367,0.0009765625,8.934736251831055e-05,
32,1,1,3,11,0.07730083331504527,1.0993482666284156,0.07031514549262784,0.0009765625,6.270408630371094e-05,
32,1,3,8,1,0.0926974000321934,1.3586798667044302,0.06822607908148165,0.0009765625,8.14199447631836e-05,
32,1,3,8,3,0.09415483339883697,1.2503457666753093,0.07530303689450342,0.001953125,6.872415542602539e-05,
32,1,3,8,5,0.314130633341847,1.4047782333364012,0.22361581770510133,0.001953125,8.279085159301758e-05,
32,1,3,8,7,0.12136419997356522,0.9479948000565249,0.12802201021179524,0.001953125,7.12275505065918e-05,
32,1,3,8,9,0.16770449995722933,0.8371570333110867,0.20032621513544702,0.0009765625,6.598234176635742e-05,
32,1,3,8,11,0.2121542666524571,0.9151040332653793,0.2318362272925668,0.001953125,7.110834121704102e-05,
32,1,8,16,1,0.07490459999341208,1.3278096666908823,0.05641215143438933,0.001953125,8.481740951538086e-05,
32,1,8,16,3,0.11178230003376181,1.0314270000283916,0.1083763562818162,0.001953125,7.075071334838867e-05,
32,1,8,16,5,0.11379279991767059,0.72156206673147,0.1577034120337408,0.001953125,7.683038711547852e-05,
32,1,8,16,7,0.18485910004528705,0.7689932666835375,0.24039105159208343,0.001953125,8.14199447631836e-05,
32,1,8,16,9,0.4151488332960677,1.2313919666970226,0.3371378444262767,0.001953125,7.683038711547852e-05,
32,1,8,16,11,0.22104950003267732,1.4482326332654338,0.15263397257819084,0.0009765625,6.645917892456055e-05,
32,1,16,32,1,0.08001499991223682,0.888108400007089,0.09009598367901725,0.001953125,7.730722427368164e-05,
32,1,16,32,3,0.11329546662940022,0.6936985333595658,0.1633208968753515,0.001953125,8.171796798706055e-05,
32,1,16,32,5,0.12348323325568344,0.7270510667391742,0.16984121047989936,0.001953125,7.915496826171875e-05,
32,1,16,32,7,0.2595496332408705,0.9666669999811953,0.26849952801318294,0.001953125,7.456541061401367e-05,
32,1,16,32,9,0.2451422333251685,1.2994482667030145,0.1886510141316731,0.001953125,6.92605972290039e-05,
32,1,16,32,11,0.3321875666491299,1.6902215999531716,0.19653491983437754,0.001953125,7.224082946777344e-05,
32,1,32,64,1,0.07779673336093158,0.7191630667269541,0.10817676401959725,0.001953125,8.618831634521484e-05,
32,1,32,64,3,0.2536901666947718,0.7512833667230249,0.33767573984943494,0.001953125,8.594989776611328e-05,
32,1,32,64,5,0.22411099998862483,1.028274333414932,0.217948647268424,0.001953125,8.016824722290039e-05,
32,1,32,64,7,0.26058756666316185,1.475485333382191,0.176611424571621,0.001953125,7.742643356323242e-05,
32,1,32,64,9,0.5035231667231225,2.4630384667640706,0.20443171047370975,0.001953125,7.158517837524414e-05,
32,1,32,64,11,0.6068721333576832,1.4228473666056136,0.4265194901442276,0.001953125,7.385015487670898e-05,
32,2,1,1,1,0.07363420008914545,1.049567600057344,0.07015670080242796,0.000244140625,1.4781951904296875e-05,
32,2,1,1,3,0.06969403330003843,1.1120297000161372,0.06267281647156282,0.0009765625,7.867813110351562e-05,
32,2,1,1,5,0.0727822332313129,1.3479805000921867,0.0539935356827012,0.0009765625,5.3882598876953125e-05,
32,2,1,1,7,0.08779106659252041,1.4216586333835342,0.061752564596733395,0.0009765625,7.700920104980469e-05,
32,2,1,1,9,0.09365753333743972,0.9725004000453433,0.09630590726037017,0.0009765625,7.098913192749023e-05,
32,2,1,1,11,0.11843326671320635,0.72393290004887,0.16359702218977942,0.0009765625,5.733966827392578e-05,
32,2,1,3,1,0.0687632332604456,0.8360799666358313,0.0822448043302975,0.001953125,9.906291961669922e-05,
32,2,1,3,3,0.0853233999805525,0.7497264667714868,0.11380603961865825,0.001953125,7.015466690063477e-05,
32,2,1,3,5,0.06542326664202847,0.7656136000150582,0.08545206960892768,0.0009765625,7.593631744384766e-05,
32,2,1,3,7,0.16655399995215703,0.8184377666718016,0.20350233913258084,0.001953125,8.827447891235352e-05,
32,2,1,3,9,0.09483246661451024,0.816708833250838,0.11611539235719774,0.001953125,7.605552673339844e-05,
32,2,1,3,11,0.10696116660255939,0.7415233332721982,0.14424517989280333,0.0009765625,5.65648078918457e-05,
32,2,3,8,1,0.08022203328437172,0.7857164666347671,0.10210048623260198,0.001953125,8.511543273925781e-05,
32,2,3,8,3,0.07035763337626122,0.8297515666830199,0.08479361317450711,0.001953125,7.623434066772461e-05,
32,2,3,8,5,0.15340833330507544,0.7364741333731217,0.20830104731913754,0.001953125,7.43865966796875e-05,
32,2,3,8,7,0.13269269996574926,0.7270919667159129,0.18249782151367727,0.001953125,8.100271224975586e-05,
32,2,3,8,9,0.16950193336621547,0.7565903333064247,0.22403396647359217,0.001953125,8.004903793334961e-05,
32,2,3,8,11,0.21351453336440804,0.8835310666957715,0.24166047059659085,0.001953125,8.177757263183594e-05,
32,2,8,16,1,0.07821296664284698,0.7356985000418111,0.10631116773841728,0.001953125,8.64863395690918e-05,
32,2,8,16,3,0.10685163324524183,0.744453266573449,0.14353034373407464,0.001953125,8.475780487060547e-05,
32,2,8,16,5,0.11737196667430301,1.0423554000832762,0.11260263693642868,0.001953125,8.106231689453125e-05,
32,2,8,16,7,0.19210083337384276,1.0396194999581592,0.18477994437539322,0.001953125,7.528066635131836e-05,
32,2,8,16,9,0.2528121332337226,1.3687890333433945,0.18469766127231851,0.001953125,8.26120376586914e-05,
32,2,8,16,11,0.2277538998896489,1.7401737333178364,0.13087997797519363,0.001953125,7.104873657226562e-05,
32,2,16,32,1,0.08124463335358693,0.7553401332794843,0.10756032914714132,0.001953125,8.380413055419922e-05,
32,2,16,32,3,0.11640006656913708,0.7885754000502251,0.14760803667185593,0.001953125,7.462501525878906e-05,
32,2,16,32,5,0.12667899997419832,0.9212365999701433,0.13750973417502507,0.001953125,6.61611557006836e-05,
32,2,16,32,7,0.21101709996097875,1.5010993666995394,0.1405750376305475,0.001953125,7.253885269165039e-05,
32,2,16,32,9,0.20372159997350536,1.984188533363825,0.10267250140193737,0.001953125,7.277727127075195e-05,
32,2,16,32,11,0.26230223338643555,2.022385700062538,0.12969941064077165,0.001953125,7.49826431274414e-05,
32,2,32,64,1,0.07473596670024563,0.7296712332996927,0.10242416486981042,0.001953125,8.416175842285156e-05,
32,2,32,64,3,0.10573213330644649,0.7325749667264366,0.14432943809002655,0.001953125,7.88569450378418e-05,
32,2,32,64,5,0.11210626665463981,0.8863768000689257,0.12647698658846024,0.001953125,7.152557373046875e-05,
32,2,32,64,7,0.2518587666903234,1.2708690000484542,0.19817838556194292,0.001953125,7.081031799316406e-05,
32,2,32,64,9,0.38816703333092545,1.6683356333184445,0.23266723168816586,0.001953125,7.259845733642578e-05,
32,2,32,64,11,0.28966550004649133,2.107225866590549,0.13746295764448097,0.001953125,6.920099258422852e-05,
32,4,1,1,1,0.06578663330098304,0.6214613333819822,0.10585796696790979,0.001953125,0.00013554096221923828,
32,4,1,1,3,0.06736326661969845,0.6459855666131867,0.10427983240070636,0.001953125,9.000301361083984e-05,
32,4,1,1,5,0.068318733246997,0.6507456666440703,0.1049853064705299,0.0009765625,7.808208465576172e-05,
32,4,1,1,7,0.08131809991027694,0.5856332667462993,0.13885498746010366,0.0009765625,9.357929229736328e-05,
32,4,1,1,9,0.06961990002309904,0.6191631666297326,0.11244192771036171,0.001953125,8.940696716308594e-05,
32,4,1,1,11,0.07102856664763142,0.6094234666913204,0.11655042926597403,0.0009765625,1.055002212524414e-05,
32,4,1,3,1,0.07081146674560539,0.5958019000293765,0.1188506897042691,0.001953125,8.338689804077148e-05,
