kernel,B,H,W,k,block,BLOCK_M,BLOCK_N,BLOCK_K,NUM_WARPS,NUM_STAGES,mode,keep_ratio,time_ms,torch_time_ms,speedup_vs_torch,mae,max,rel_l2
11x11@112,8,112,112,11,64-128-32/4x3,64,128,32,4,3,input,0.25,4.0551220703125,4.691022033691406,1.1568140125877646,0.3877004086971283,2.8074951171875,0.8648771643638611
11x11@224,4,224,224,11,64-128-32/4x2,64,128,32,4,2,input,0.25,9.451842651367187,9.189601440429687,0.9722550172902458,0.3927974998950958,2.95867919921875,0.8645378947257996
11x11@56,8,56,56,11,64-128-32/4x2,64,128,32,4,2,input,0.25,1.3135699462890624,1.3528492736816407,1.0299027299639014,0.37734097242355347,2.81787109375,0.8651084303855896
13x13@224,2,224,224,13,128-128-32/8x2,128,128,32,8,2,input,0.25,6.089298095703125,6.40120849609375,1.0512227181997744,0.3923864960670471,2.734130859375,0.86503005027771
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.25,0.6334668731689453,0.11696127891540527,0.18463677244920706,0.3376118838787079,3.212890625,0.8444278240203857
3x3@112,16,112,112,3,64-128-32/4x2,64,128,32,4,2,input,0.25,2.235842590332031,1.2261785888671874,0.5484190140080905,0.39485684037208557,2.729736328125,0.8604445457458496
3x3@16,64,16,16,3,64-128-32/4x3,64,128,32,4,3,input,0.25,1.0359391784667968,1.0530815887451173,1.0165476995509442,0.3798358142375946,2.648193359375,0.8641810417175293
3x3@224,8,224,224,3,64-64-64/4x2,64,64,64,4,2,block,0.25,5.116416015625,2.3422976684570314,0.4578004723040306,0.34410351514816284,3.150390625,0.863365650177002
3x3@32,32,32,32,3,64-128-32/4x3,64,128,32,4,3,input,0.25,0.9503180694580078,0.6260319900512695,0.6587604825911735,0.38806065917015076,2.709228515625,0.8629142642021179
3x3@512,4,512,512,3,64-64-64/4x2,64,64,64,4,2,block,0.25,12.9388134765625,6.03451416015625,0.46638852713096385,0.3440069556236267,3.20703125,0.8626388311386108
3x3@56,16,56,56,3,64-128-32/4x3,64,128,32,4,3,input,0.25,0.8147135925292969,0.31145984649658204,0.38229366657508174,0.3918350338935852,2.566162109375,0.8607099056243896
3x3_dil2@56,16,56,56,3,64-128-32/4x3,64,128,32,4,3,input,0.25,0.8241139221191406,0.3098399925231934,0.37596742902542596,0.3858564794063568,3.080322265625,0.8596544861793518
3x3_s2@112,16,112,112,3,64-128-32/4x2,64,128,32,4,2,input,0.25,0.835604476928711,0.3806412887573242,0.45552806293760245,0.39375507831573486,2.53369140625,0.8601973652839661
5x5@112,16,112,112,5,64-128-32/4x3,64,128,32,4,3,input,0.25,3.1343820190429685,2.486886444091797,0.7934216151645505,0.39347755908966064,2.69482421875,0.8632180690765381
5x5@32,32,32,32,5,64-128-32/4x3,64,128,32,4,3,input,0.25,1.305681915283203,1.383424072265625,1.0595414212852596,0.3816142678260803,2.534423828125,0.8637130856513977
5x5@56,16,56,56,5,128-128-32/8x2,128,128,32,8,2,input,0.25,1.0248806762695313,0.6387712097167969,0.6232639803902477,0.3880198001861572,2.6513671875,0.8628667593002319
7x7@112,12,112,112,7,64-128-32/4x3,64,128,32,4,3,input,0.25,3.2606207275390626,3.0717953491210936,0.9420891314272899,0.3914240598678589,2.684326171875,0.8637883067131042
7x7@224,6,224,224,7,64-128-32/4x2,64,128,32,4,2,input,0.25,8.698839111328125,5.976532592773437,0.6870494460565957,0.39475110173225403,2.8414306640625,0.8639110326766968
7x7@32,32,32,32,7,64-128-32/4x3,64,128,32,4,3,input,0.25,1.8608741760253906,2.5196127319335937,1.35399414124559,0.3750547468662262,2.8040771484375,0.864413321018219
7x7@512,2,512,512,7,64-128-32/4x3,64,128,32,4,3,input,0.25,16.074219970703126,11.1788037109375,0.695449218146323,0.3962148427963257,2.77490234375,0.8639602065086365
7x7@56,16,56,56,7,64-128-32/4x2,64,128,32,4,2,input,0.25,1.3095071411132813,1.0496192169189453,0.8015376044659127,0.3853643834590912,2.5814208984375,0.86407071352005
